lot_id,first_issue_date,first_issue_year,outcome,lot_size_original,lot_size_source,land_width,land_depth,geolocalarea,roll_number,folioID,PID,site_id,tax_coord,lot_size_missing
006557007,2019-05-23,2019,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027609108930023,A000003WFB,006557007,VAS1395,60910893,TRUE
006557023,2019-05-23,2019,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027609108930025,A000003WFD,006557023,VAS1395,60910893,TRUE
006557040,2019-05-23,2019,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027609108930027,A000003WFF,006557040,VAS1395,60910893,TRUE
006557058,2019-05-23,2019,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027609108930029,A000003WFH,006557058,VAS1395,60910893,TRUE
006557066,2019-05-23,2019,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027609108930030,A000003WFJ,006557066,VAS1395,60910893,TRUE
006557091,2019-05-23,2019,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027609108930031,A000003WFK,006557091,VAS1395,60910893,TRUE
006557112,2019-05-23,2019,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027609108930032,A000003WFL,006557112,VAS1395,60910893,TRUE
006557121,2019-05-23,2019,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027609108930034,A000003WFN,006557121,VAS1395,60910893,TRUE
006557147,2019-05-23,2019,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027609108930036,A000003WFQ,006557147,VAS1395,60910893,TRUE
006557163,2019-05-23,2019,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027609108930038,A000003WFS,006557163,VAS1395,60910893,TRUE
006557171,2019-05-23,2019,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027609108930039,A000003WFT,006557171,VAS1395,60910893,TRUE
006557198,2019-05-23,2019,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027609108930040,A000003WFU,006557198,VAS1395,60910893,TRUE
006557201,2019-05-23,2019,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027609108930041,A000003WFV,006557201,VAS1395,60910893,TRUE
006557589,2019-05-23,2019,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027609108930042,A000003WFW,006557589,VAS1395,60910893,TRUE
006557601,2019-05-23,2019,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027609108930043,A000003WFX,006557601,VAS1395,60910893,TRUE
006559344,2017-05-17,2017,sf_rebuild_or_upgrade,4029.3,residentialInventory,33,122.1,Hastings-Sunrise,020569312760000,A000002PVC,006559344,006559344,56931276,FALSE
006580777,2017-11-14,2017,sf_rebuild_or_upgrade,4500,residentialInventory,40,112.5,Hastings-Sunrise,021616271440000,A000002UA2,006580777,006580777,61627144,FALSE
006607659,2017-02-24,2017,sf_rebuild_or_upgrade,5524.5,residentialInventory,43.5,127,Kensington-Cedar Cottage,019221742920000,A000002JH4,006607659,006607659,22174292,FALSE
006614132,2017-02-10,2017,sf_rebuild_or_upgrade,5124.3,residentialInventory,46.5,110.2,Sunset,017184818340000,A000002AY0,006614132,006614132,18481834,FALSE
006621392,2017-06-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027602108460001,A000003THC,006621392,VAS1470,60210846,TRUE
006621431,2017-06-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027602108460002,A000003THD,006621431,VAS1470,60210846,TRUE
